i_epik_Tot_Q,i_epik_Tot_abs_Q,i_glide_XP_PoseRank,i_i_glide_confnum,i_i_glide_lignum,i_i_glide_posenum,i_i_glide_rotatable_bonds,i_lp_mmshare_version,i_m_Source_File_Index,i_m_source_file_index,i_phase_Input_Structure_Number,i_phase_Reference_Structure,i_phase_Structure_Number,i_f3d_flags,b_lp_Chiralities_Consistent,b_m_subgroup_collapsed,r_epik_Population,r_epik_State_Penalty,r_epik_acidic_macro-pKa_1,r_epik_acidic_macro-pKa_2,r_epik_acidic_macro-pKa_3,"r_epik_macro-pKa_(-1,0)","r_epik_macro-pKa_(-2,-1)","r_epik_macro-pKa_(0,1)","r_epik_macro-pKa_(1,2)",r_glide_XP_GScore,r_glide_XP_HBond,r_i_docking_score,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa,r_lp_Energy,r_phase_Similarity_to_Reference,IC50 RIKP2 (nM),s_epik_macro-pKa,s_epik_tautomer,s_i_glide_gridfile,s_lp_Force_Field,s_lp_Variant,s_m_Source_File,s_m_Source_Path,s_m_entry_id,s_m_entry_name,s_m_job_name,s_m_source_file,s_m_subgroup_title,s_m_subgroupid,s_phase_Alignment_Method,s_phase_Alignment_Reason,s_phase_Core_SMARTS,ID,ROMol,r_epik_basic_macro-pKa_1,r_epik_basic_macro-pKa_2,SMILES,pIC50,Experimental deltaG
0,0,1,1,13,9,7,70133,7,7,14,1,14,0,1,0,0.93288599999999999,0.041157199999999998,0.63300000000000001,6.242,10.025,10.025,12.699,6.242,0.63300000000000001,-11.755100000000001,-2.2290100000000002,-11.714,-14.6287,0.041157199999999998,12.1073,-82.629900000000006,-53.384999999999998,-38.756300000000003,-11.755100000000001,-0.40393000000000001,-2.6821999999999999,-1.2410000000000001,37.993899999999996,0.73374700000000004,20.0,"0.63,6.24,10.03,12.70",0_1,glide-grid_5j79_chainB_2,S-OPLS,5-1,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,123,RIPK2_ligands.7,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6]1(:&@[#6]:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1)-&!@[#7&!R]-&!@[#6]1:&@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2:&@[#7]:&@[#6]:&@[#6]:&@1)-&!@[#6&!R])-&!@[#8&!R],5,<rdkit.Chem.rdchem.Mol object at 0x1258d4120>,,,Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NCC3CCOCC3)cc12,7.698970004336019,-10.504109643806094
0,0,1,1,15,6,7,70133,8,8,16,1,16,0,1,0,0.93288599999999999,0.041157199999999998,0.315,6.242,10.025,10.025,13.016999999999999,6.242,0.315,-11.6433,-2.2531400000000001,-11.6022,-14.8725,0.041157199999999998,7.0273099999999999,-84.2547,-56.1023,-41.229799999999997,-11.6433,-0.40007500000000001,-2.6566100000000001,-1.22916,37.317399999999999,0.73473999999999995,,"0.31,6.24,10.03,13.02",0_1,glide-grid_5j79_chainB_2,S-OPLS,12-1,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,124,RIPK2_ligands.8,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6]1(:&@[#6]:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1)-&!@[#7&!R]-&!@[#6]1:&@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2:&@[#7]:&@[#6]:&@[#6]:&@1)-&!@[#6&!R])-&!@[#8&!R],12,<rdkit.Chem.rdchem.Mol object at 0x1258d4190>,,,Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NC[C@H]3CCCOC3)cc12,,
0,0,1,1,16,1,7,70133,8,8,17,1,17,0,1,0,0.93288599999999999,0.041157199999999998,0.315,6.242,10.025,10.025,13.016999999999999,6.242,0.315,-11.4459,-2.2635299999999998,-11.4048,-15.318,0.041157199999999998,3.52583,-87.129400000000004,-56.880099999999999,-41.562100000000001,-11.4459,-0.39326899999999998,-2.6114099999999998,-1.20825,36.178899999999999,0.73529299999999997,,"0.31,6.24,10.03,13.02",0_1,glide-grid_5j79_chainB_2,S-OPLS,12-2,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,125,RIPK2_ligands.8,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6]1(:&@[#6]:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1)-&!@[#7&!R]-&!@[#6]1:&@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2:&@[#7]:&@[#6]:&@[#6]:&@1)-&!@[#6&!R])-&!@[#8&!R],12,<rdkit.Chem.rdchem.Mol object at 0x1434e2ff0>,,,Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NC[C@@H]3CCCOC3)cc12,,
0,0,1,1,1,9,4,70133,1,1,2,1,2,0,1,0,0.98587800000000003,0.0084258600000000003,5.4779999999999998,,,10.025,,5.4779999999999998,-5.1719999999999997,-10.919600000000001,-1.44974,-10.911199999999999,-14.505100000000001,0.0084258600000000003,5.2101300000000004,-70.860200000000006,-51.694400000000002,-37.189300000000003,-10.919600000000001,-0.47439900000000002,-2.63842,-1.3491299999999999,25.601299999999998,0.99958599999999997,3.0,"-5.17,5.48,10.03",0_1,glide-grid_5j79_chainB_2,S-OPLS,11-1,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,126,RIPK2_ligands.1,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6]1(-&!@[#6&!R]):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1-&!@[#7&!R]-&!@[#6]1:&@[#6]:&@[#6]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#16&!R](-&!@[#6&!R])(=&!@[#8&!R])=&!@[#8&!R])-&!@[#8&!R],11,<rdkit.Chem.rdchem.Mol object at 0x1434e2260>,,,Cc1ccc(O)cc1Nc1ccnc2ccc(S(C)(=O)=O)cc12,8.522878745280337,-11.628211666088974
0,0,1,1,21,3,4,70133,10,10,22,1,22,0,1,0,0.933249,0.040926499999999998,6.2400000000000002,,,10.025,,6.2400000000000002,-5.0499999999999998,-10.855700000000001,-1.4411700000000001,-10.8147,-11.8498,0.040926499999999998,0.17861299999999999,-68.792000000000002,-46.520600000000002,-34.6708,-10.855700000000001,-0.47020600000000001,-2.6151,-1.3371999999999999,32.339300000000001,0.91166700000000001,8.0,"-5.05,6.24,10.03",0_1,glide-grid_5j79_chainB_2,S-OPLS,3-1,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,127,RIPK2_ligands.10,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6]1(-&!@[#6&!R]):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1-&!@[#7&!R]-&!@[#6]1:&@[#6]:&@[#6]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#8&!R],3,<rdkit.Chem.rdchem.Mol object at 0x1434e30d0>,,,Cc1ccc(O)cc1Nc1ccnc2ccc(C(F)(F)F)cc12,8.096910013008056,-11.047040124168282
0,0,1,1,11,11,4,70133,6,6,12,1,12,0,1,0,0.72567300000000001,0.18996399999999999,6.9740000000000002,,,10.025,,6.9740000000000002,4.617,-10.9696,-1.4685600000000001,-10.7796,-12.2966,0.18996399999999999,5.2309200000000002,-70.092500000000001,-50.244700000000002,-37.948099999999997,-10.9696,-0.43118600000000001,-2.5550999999999999,-1.2607900000000001,44.700699999999998,0.78945100000000001,10.0,"4.62,6.97,10.03",0_1,glide-grid_5j79_chainB_2,S-OPLS,6-1,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,128,RIPK2_ligands.6,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6]1(:&@[#6]:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1)-&!@[#7&!R]-&!@[#6]1:&@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2:&@[#7]:&@[#6]:&@[#6]:&@1)-&!@[#6&!R])-&!@[#8&!R],6,<rdkit.Chem.rdchem.Mol object at 0x1434e3140>,4.617,,Cc1ccc(O)cc1Nc1ccnc2ccc(-c3cccnc3)cc12,8.0,-10.9148206972
0,0,1,1,19,5,4,70133,9,9,20,1,20,0,1,0,0.53237299999999999,0.37347000000000002,7.343,,,10.025,,7.343,-4.0060000000000002,-11.0466,-1.4264600000000001,-10.6731,-12.0182,0.37347000000000002,10.1571,-62.503799999999998,-46.001899999999999,-33.983699999999999,-11.0466,-0.50824499999999995,-2.6389100000000001,-1.40221,34.058399999999999,0.91302000000000005,250.0,"-4.01,7.34,10.03",0_1,glide-grid_5j79_chainB_2,S-OPLS,4-1,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,129,RIPK2_ligands.9,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#6]:&@1):&@[#7]:&@[#6]:&@[#6]:&@[#6]:&@2-&!@[#7&!R]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#8&!R]):&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#6&!R],4,<rdkit.Chem.rdchem.Mol object at 0x1434e31b0>,,,COc1ccc2nccc(Nc3cc(O)ccc3C)c2c1,6.6020599913279625,-9.007537629687812
0,0,1,1,9,10,3,70133,5,5,10,1,10,0,1,0,0.66942699999999999,0.237759,7.0910000000000002,,,10.025,,7.0910000000000002,-4.2320000000000002,-10.6646,-0.96925300000000003,-10.4268,-11.3127,0.237759,1.1564399999999999,-61.040900000000001,-43.445300000000003,-32.1325,-10.6646,-0.54878099999999996,-2.6434299999999999,-1.4643699999999999,31.872800000000002,0.89512899999999995,630.0,"-4.23,7.09,10.03",0_1,glide-grid_5j79_chainB_2,S-OPLS,7-1,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,130,RIPK2_ligands.5,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6]1(-&!@[#6&!R]):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1-&!@[#7&!R]-&!@[#6]1:&@[#6]:&@[#6]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#8&!R],7,<rdkit.Chem.rdchem.Mol object at 0x1434e3220>,,,Cc1ccc(O)cc1Nc1ccnc2ccccc12,6.200659450546418,-8.459885763389103
0,0,1,1,23,9,4,70133,11,11,24,1,24,0,1,0,0.92095700000000003,0.048781600000000001,12.539,,,12.539,15.380000000000001,5.4669999999999996,2.3769999999999998,-9.5068400000000004,-0.92446399999999995,-9.4580599999999997,-5.1638999999999999,0.048781600000000001,3.8288199999999999,-69.436999999999998,-45.803699999999999,-40.639800000000001,-9.5068400000000004,-0.350298,-2.2016800000000001,-1.0508999999999999,33.667200000000001,0.70049899999999998,10.0,"2.38,5.47,12.54,15.38",0_1,glide-grid_5j79_chainB_2,S-OPLS,2-1,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,131,RIPK2_ligands.11,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6&R]-&!@[#7&!R]-&!@[#6]1:&@[#6]2:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@[#6]:&@2:&@[#7]:&@[#6]:&@[#6]:&@1)-&!@[#16&!R](-&!@[#6&!R])(=&!@[#8&!R])=&!@[#8&!R],2,<rdkit.Chem.rdchem.Mol object at 0x1434e3290>,5.4669999999999996,2.3769999999999998,CC(C)S(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1,8.0,-10.9148206972
0,0,1,1,25,14,4,70133,12,12,26,1,26,0,1,0,0.91337199999999996,0.053680800000000001,12.513999999999999,,,12.513999999999999,15.382999999999999,5.4429999999999996,3.1230000000000002,-9.4856400000000001,-0.69999999999999996,-9.4319600000000001,-4.3558300000000001,0.053680800000000001,9.0099999999999998,-66.473600000000005,-47.328200000000002,-42.972299999999997,-9.4856400000000001,-0.33685599999999999,-2.1771699999999998,-1.0228900000000001,35.378700000000002,0.67607499999999998,5.0,"3.12,5.44,12.51,15.38",0_1,glide-grid_5j79_chainB_2,S-OPLS,1-1,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,132,RIPK2_ligands.12,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6&R]-&!@[#7&!R]-&!@[#6]1:&@[#6]2:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@[#6]:&@2:&@[#7]:&@[#6]:&@[#6]:&@1)-&!@[#16&!R](-&!@[#6&!R])(=&!@[#8&!R])=&!@[#8&!R],1,<rdkit.Chem.rdchem.Mol object at 0x1434e3300>,5.4429999999999996,3.1230000000000002,CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1,8.301029995663981,-11.325531750593905
0,0,1,1,7,13,3,70133,4,4,8,1,8,0,1,0,0.92095700000000003,0.048781600000000001,12.539,,,12.539,15.380000000000001,5.4669999999999996,2.3769999999999998,-9.2120999999999995,-0.99750000000000005,-9.1633200000000006,-4.6227999999999998,0.048781600000000001,7.2566800000000002,-64.275700000000001,-42.703499999999998,-38.0807,-9.2120999999999995,-0.366533,-2.17198,-1.07175,28.116,0.76869100000000001,50.0,"2.38,5.47,12.54,15.38",0_1,glide-grid_5j79_chainB_2,S-OPLS,8-1,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,133,RIPK2_ligands.4,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6&R]-&!@[#7&!R]-&!@[#6]1:&@[#6]2:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@[#6]:&@2:&@[#7]:&@[#6]:&@[#6]:&@1)-&!@[#16&!R](-&!@[#6&!R])(=&!@[#8&!R])=&!@[#8&!R],8,<rdkit.Chem.rdchem.Mol object at 0x1434e3370>,5.4669999999999996,2.3769999999999998,CS(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1,7.301029995663981,-9.961179163443905
0,0,1,1,26,7,4,70133,12,12,27,1,27,0,1,0,0.075701000000000004,1.5290299999999999,12.513999999999999,,,12.513999999999999,15.382999999999999,5.4429999999999996,3.1230000000000002,-10.417299999999999,-0.85864399999999996,-8.8883200000000002,-9.0190000000000001,1.5290299999999999,6.569,-72.134799999999998,-49.849400000000003,-40.830399999999997,-10.417299999999999,-0.31744,-2.0516800000000002,-0.96393499999999999,37.226199999999999,0.69396199999999997,5.0,"3.12,5.44,12.51,15.38",0_2,glide-grid_5j79_chainB_2,S-OPLS,1-2,glide-dock_XP_5j79_noConstraints_lib.sdfgz,/Users/ganeshshahane/glide-dock_XP_5j79_noConstraints,134,RIPK2_ligands.12,glide-dock_XP_5j79_noConstraints,ligprep_aq12.maegz,glide-dock_XP_5j79_noConstraints_lib,glide-dock_XP_5j79_noConstraints_lib,snapped core,,[#6&R]-&!@[#7&!R]-&!@[#6]1:&@[#6]2:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@[#6]:&@2:&@[#7]:&@[#6]:&@[#6]:&@1)-&!@[#16&!R](-&!@[#6&!R])(=&!@[#8&!R])=&!@[#8&!R],1,<rdkit.Chem.rdchem.Mol object at 0x1434e33e0>,5.4429999999999996,3.1230000000000002,CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3[nH]nc4ccc(F)cc34)c2c1,8.301029995663981,-11.325531750593905
